geoid,zone,epsg
14000US06057000104,10S,32610
14000US06061990000,10S,32610
14000US06061990000,11S,32611
14000US06057000702,10S,32610
14000US32510000300,10S,32610
14000US32510000300,11S,32611
14000US06061022200,10S,32610
14000US06061022200,11S,32611
14000US06057000300,10S,32610
14000US06061020104,10S,32610
14000US06061020104,11S,32611
14000US06061022013,10S,32610
14000US06057000402,10S,32610
14000US32031990000,10S,32610
14000US32031990000,11S,32611
14000US06057000502,10S,32610
14000US06057000600,10S,32610
14000US06057000701,10S,32610
14000US32031003309,10S,32610
14000US32031003309,11S,32611
14000US06061020105,10S,32610
14000US06061020105,11S,32611
14000US06061022014,10S,32610
14000US06057000501,10S,32610
14000US32031003307,10S,32610
14000US32031003307,11S,32611
14000US06057000401,10S,32610
14000US32031003306,10S,32610
14000US32031003306,11S,32611
14000US06061022011,10S,32610
14000US06061022011,11S,32611
14000US06061020107,10S,32610
14000US06061020107,11S,32611
14000US32031003305,10S,32610
14000US32031003305,11S,32611
14000US06057000802,10S,32610
14000US32031003308,10S,32610
14000US32031003308,11S,32611
14000US32031003204,10S,32610
14000US32031003204,11S,32611
14000US06061020106,10S,32610
14000US06061020106,11S,32611
14000US06057000801,10S,32610
14000US06057001204,10S,32610
14000US06057001206,10S,32610
14000US06057001206,11S,32611
14000US06057001205,10S,32610
14000US06057001205,11S,32611
14000US06057001203,10S,32610
14000US06057001203,11S,32611
14000US32031003203,10S,32610
14000US32031003203,11S,32611
14000US06057000900,10S,32610
14000US06057000900,11S,32611
14000US32031980300,10S,32610
14000US32031980300,11S,32611
14000US32031001013,10S,32610
14000US32031001013,11S,32611
14000US06101050900,10S,32610
14000US06115040700,10S,32610
14000US06011000100,10S,32610
14000US06101051000,10S,32610
14000US06115040800,10S,32610
14000US06101050402,10S,32610
14000US06115040600,10S,32610
14000US06101050403,10S,32610
14000US06101050504,10S,32610
14000US06115040400,10S,32610
14000US06115040500,10S,32610
14000US06101050401,10S,32610
14000US06011000300,10S,32610
14000US06101050503,10S,32610
14000US06101050301,10S,32610
14000US06115040303,10S,32610
14000US06101050302,10S,32610
14000US06115040902,10S,32610
14000US06115040302,10S,32610
14000US06101050501,10S,32610
14000US06101050201,10S,32610
14000US06115040901,10S,32610
14000US06115040301,10S,32610
14000US06101050202,10S,32610
14000US06101050102,10S,32610
14000US06115040100,10S,32610
14000US06101050604,10S,32610
14000US06101050101,10S,32610
14000US06115040200,10S,32610
14000US06101050601,10S,32610
14000US06101050603,10S,32610
14000US06011000200,10S,32610
14000US06101050800,10S,32610
14000US06101050702,10S,32610
14000US06115041000,10S,32610
14000US06101050701,10S,32610
14000US06011000500,10S,32610
14000US06007003502,10S,32610
14000US06007003400,10S,32610
14000US06007003501,10S,32610
14000US06007003300,10S,32610
14000US06007003200,10S,32610
14000US06007003600,10S,32610
14000US06007003002,10S,32610
14000US06007002601,10S,32610
14000US06007003100,10S,32610
14000US06007003001,10S,32610
14000US06007002800,10S,32610
14000US06021010400,10S,32610
14000US06007002900,10S,32610
14000US06007002700,10S,32610
14000US06021010502,10S,32610
14000US06007002602,10S,32610
14000US06007003700,10S,32610
14000US06007002500,10S,32610
14000US06007001500,10S,32610
14000US06007002200,10S,32610
14000US06007002300,10S,32610
14000US06007001200,10S,32610
14000US06007001100,10S,32610
14000US06007000901,10S,32610
14000US06007001300,10S,32610
14000US06007000903,10S,32610
14000US06021010501,10S,32610
14000US06007001000,10S,32610
14000US06007000502,10S,32610
14000US06007000604,10S,32610
14000US06007000603,10S,32610
14000US06007000501,10S,32610
14000US06021010200,10S,32610
14000US06061022900,10S,32610
14000US06061023100,10S,32610
14000US06061020602,10S,32610
14000US06061021131,10S,32610
14000US06061023000,10S,32610
14000US06061021130,10S,32610
14000US06017030601,10S,32610
14000US06061021203,10S,32610
14000US06017030505,10S,32610
14000US06017030505,11S,32611
14000US06061021309,10S,32610
14000US06061021122,10S,32610
14000US06061021123,10S,32610
14000US06061020502,10S,32610
14000US06061023500,10S,32610
14000US06061023200,10S,32610
14000US06061023600,10S,32610
14000US06061021204,10S,32610
14000US06061023300,10S,32610
14000US06061023700,10S,32610
14000US06061023800,10S,32610
14000US06017030502,10S,32610
14000US06017030502,11S,32611
14000US06061020501,10S,32610
14000US06061023900,10S,32610
14000US06061020402,10S,32610
14000US06017030602,10S,32610
14000US06061021403,10S,32610
14000US06061020401,10S,32610
14000US06061021401,10S,32610
14000US06017030603,10S,32610
14000US06017030603,11S,32611
14000US06017030402,10S,32610
14000US06017030402,11S,32611
14000US06061020300,10S,32610
14000US06017030504,10S,32610
14000US06017030504,11S,32611
14000US32005001300,10S,32610
14000US32005001300,11S,32611
14000US06061023400,10S,32610
14000US06061021501,10S,32610
14000US06061021502,10S,32610
14000US06017030301,10S,32610
14000US06017030301,11S,32611
14000US06017030401,10S,32610
14000US06017030401,11S,32611
14000US06017030302,10S,32610
14000US06017030302,11S,32611
14000US06017030200,10S,32610
14000US06017030200,11S,32611
14000US06017032000,10S,32610
14000US06017032000,11S,32611
14000US06017031600,10S,32610
14000US06017031600,11S,32611
14000US06061021802,10S,32610
14000US06061021603,10S,32610
14000US32005001800,10S,32610
14000US32005001800,11S,32611
14000US06061021304,10S,32610
14000US06061021604,10S,32610
14000US06061021801,10S,32610
14000US32005001700,10S,32610
14000US32005001700,11S,32611
14000US06061021901,10S,32610
14000US06017990000,10S,32610
14000US06017990000,11S,32611
14000US06061021902,10S,32610
14000US32005001900,10S,32610
14000US32005001900,11S,32611
14000US32005990000,10S,32610
14000US32005990000,11S,32611
14000US32005001600,10S,32610
14000US32005001600,11S,32611
14000US06061022002,10S,32610
14000US06057000105,10S,32610
14000US06057000103,10S,32610
14000US06061022300,10S,32610
14000US06061022300,11S,32611
14000US06061020200,10S,32610
14000US06067008140,10S,32610
14000US06067008501,10S,32610
14000US06067008111,10S,32610
14000US06067007428,10S,32610
14000US06067008203,10S,32610
14000US06067008210,10S,32610
14000US06067007429,10S,32610
14000US06017031700,10S,32610
14000US06067008129,10S,32610
14000US06067008211,10S,32610
14000US06067008142,10S,32610
14000US06067008125,10S,32610
14000US06017031406,10S,32610
14000US06067008124,10S,32610
14000US06067007433,10S,32610
